@RELATION tweet

@ATTRIBUTE user {true,false}
@ATTRIBUTE word {true,false}
@ATTRIBUTE hashtag {true,false}
@ATTRIBUTE smiley {true,false}
@ATTRIBUTE argoInternet {true,false}
@ATTRIBUTE ponctuation {absent, regulier, surnombre}
@ATTRIBUTE retweet {true,false}
@ATTRIBUTE nbRetweet NUMERIC
@ATTRIBUTE longeur NUMERIC
@ATTRIBUTE categorie {Drole, Contrepetrie, PasDrole, Autoderision}
@ATTRIBUTE tweetDrole {true,false}

@DATA
false,false,false,false,false,absent,false,170,72,PasDrole,false
false,false,false,false,false,absent,false,28,76,PasDrole,false
false,false,false,false,false,absent,false,62,87,PasDrole,false
false,false,false,false,false,absent,false,4,67,PasDrole,false
false,false,false,false,false,absent,false,3,61,PasDrole,false
false,false,false,false,false,absent,false,5,80,PasDrole,false
false,false,false,false,false,absent,true,4,107,PasDrole,false
false,false,false,false,false,absent,true,11,100,PasDrole,false
false,false,false,false,false,absent,true,2,98,PasDrole,false
false,false,false,false,false,absent,true,5,91,PasDrole,false
false,false,false,false,false,absent,true,3,114,PasDrole,false
false,false,false,false,false,absent,true,4,104,PasDrole,false
false,false,false,false,false,absent,false,10,91,PasDrole,false
false,false,false,false,false,absent,false,3,95,PasDrole,false
false,false,false,false,false,absent,false,7,78,PasDrole,false
false,false,false,false,false,absent,false,8,76,PasDrole,false
false,false,false,false,false,absent,false,5,93,PasDrole,false
false,false,false,false,false,absent,false,2,70,PasDrole,false
false,false,false,false,false,absent,false,5,95,PasDrole,false
false,false,false,false,false,absent,false,4,95,PasDrole,false
false,false,false,false,false,absent,false,9,100,PasDrole,false
false,false,false,false,false,absent,false,21,95,PasDrole,false
false,false,false,false,false,absent,false,21,76,PasDrole,false
false,false,false,false,false,absent,false,29,90,PasDrole,false
false,false,false,false,false,absent,false,6,69,PasDrole,false
false,false,false,false,false,absent,false,8,58,PasDrole,false
false,false,false,false,false,absent,false,17,82,PasDrole,false
false,false,false,false,false,absent,false,8,73,PasDrole,false
false,false,false,false,false,absent,false,9,74,PasDrole,false
false,false,false,false,false,absent,false,27,70,PasDrole,false
false,false,false,false,false,absent,false,30,90,PasDrole,false
false,false,false,false,false,absent,false,11,68,PasDrole,false
false,false,false,false,false,absent,false,14,89,PasDrole,false
false,false,false,false,false,absent,false,37,84,PasDrole,false
false,false,false,false,false,absent,false,8,73,PasDrole,false
false,false,false,false,false,absent,false,12,101,PasDrole,false
false,false,false,false,false,absent,false,5,82,PasDrole,false
false,false,false,false,false,absent,false,3,77,PasDrole,false
false,false,false,false,false,absent,false,21,78,PasDrole,false
false,false,false,false,false,absent,false,13,84,PasDrole,false
false,false,false,false,false,absent,false,5,111,PasDrole,false
false,false,false,false,false,absent,false,9,102,PasDrole,false
false,false,false,false,false,absent,false,9,89,PasDrole,false
false,false,false,false,false,absent,false,11,91,PasDrole,false
false,false,false,false,false,absent,false,7,88,PasDrole,false
false,false,false,false,false,absent,false,6,93,PasDrole,false
false,false,false,false,false,absent,false,19,96,PasDrole,false
false,false,false,false,false,absent,false,49,65,PasDrole,false
false,false,false,false,false,absent,false,24,103,PasDrole,false
false,false,false,false,false,absent,false,15,84,PasDrole,false
false,false,false,false,false,absent,false,4,80,PasDrole,false
false,false,false,false,false,absent,false,16,79,PasDrole,false
false,false,false,false,false,absent,false,9,79,PasDrole,false
false,false,false,false,false,absent,false,5,117,PasDrole,false
false,false,false,false,false,absent,false,3,88,PasDrole,false
false,false,false,false,false,absent,false,18,111,PasDrole,false
false,false,false,false,false,absent,false,4,89,PasDrole,false
false,false,false,false,false,absent,false,18,90,PasDrole,false
false,false,false,false,false,absent,false,9,73,PasDrole,false
false,false,false,false,false,absent,false,10,80,PasDrole,false
false,false,false,false,false,absent,false,9,86,PasDrole,false
false,false,false,false,false,absent,false,11,67,PasDrole,false
false,false,false,false,false,absent,false,8,51,PasDrole,false
false,false,false,false,false,absent,false,2,83,PasDrole,false
false,false,false,false,false,absent,false,21,72,PasDrole,false
false,false,false,false,false,absent,false,6,83,PasDrole,false
false,false,false,false,false,absent,false,7,139,PasDrole,false
false,false,false,false,false,absent,false,6,115,PasDrole,false
false,false,false,false,false,absent,false,9,76,PasDrole,false
false,false,false,false,false,absent,false,6,78,PasDrole,false
false,false,false,false,false,absent,false,13,70,PasDrole,false
false,false,false,false,false,absent,false,6,114,PasDrole,false
false,false,false,false,false,absent,false,6,102,PasDrole,false
false,false,false,false,false,absent,false,11,101,PasDrole,false
false,false,false,false,false,absent,false,10,72,PasDrole,false
false,false,false,false,false,absent,false,19,78,PasDrole,false
false,false,false,false,false,absent,false,5,87,PasDrole,false
false,false,false,false,false,absent,false,15,86,PasDrole,false
false,false,false,false,false,regulier,false,22,80,PasDrole,false
false,false,false,false,false,absent,false,8,78,PasDrole,false
false,false,false,false,false,absent,false,10,73,PasDrole,false
false,false,false,false,false,absent,false,5,82,PasDrole,false
false,false,false,false,false,absent,false,8,63,PasDrole,false
false,false,false,false,false,absent,false,4,56,PasDrole,false
false,false,false,false,false,absent,false,3,115,PasDrole,false
false,false,false,false,false,absent,false,9,81,PasDrole,false
false,false,false,false,false,absent,false,3,97,PasDrole,false
false,false,false,false,false,absent,false,1,88,PasDrole,false
false,false,false,false,false,absent,false,6,63,PasDrole,false
false,false,false,false,false,absent,false,4,66,PasDrole,false
false,false,false,false,false,absent,false,11,87,PasDrole,false
false,false,false,false,false,absent,false,3,70,PasDrole,false
false,false,false,false,false,absent,true,3,140,PasDrole,false
false,false,false,false,false,absent,false,3,92,PasDrole,false
false,false,false,false,false,absent,false,7,84,PasDrole,false
false,false,false,false,false,absent,false,9,74,PasDrole,false
false,false,false,false,false,absent,true,5,124,PasDrole,false
false,false,false,false,false,absent,false,3,97,PasDrole,false
false,false,false,false,false,absent,false,12,71,PasDrole,false
false,false,false,false,false,absent,false,4,82,PasDrole,false
false,false,false,false,false,absent,false,4,56,PasDrole,false
false,false,false,false,false,absent,false,8,63,PasDrole,false
false,false,false,false,false,absent,true,6,107,PasDrole,false
false,false,false,false,false,absent,true,8,88,PasDrole,false
false,false,false,false,false,absent,true,5,101,PasDrole,false
false,false,false,false,false,absent,false,7,87,PasDrole,false
false,false,false,false,false,absent,false,7,82,PasDrole,false
false,false,false,false,false,absent,false,8,73,PasDrole,false
false,false,false,false,false,absent,false,6,51,PasDrole,false
false,false,false,false,false,absent,false,4,83,PasDrole,false
false,false,false,false,false,absent,false,13,67,PasDrole,false
false,false,false,false,false,absent,false,6,85,PasDrole,false
false,false,false,false,false,absent,false,6,139,PasDrole,false
false,false,false,false,false,absent,true,7,110,PasDrole,false
false,false,false,false,false,absent,false,22,72,PasDrole,false
false,false,false,false,false,absent,false,4,115,PasDrole,false
false,false,false,false,false,absent,false,6,115,PasDrole,false
false,false,false,false,false,absent,false,10,70,PasDrole,false
false,false,false,false,false,absent,false,10,63,PasDrole,false
false,false,false,false,false,absent,false,4,72,PasDrole,false
false,false,false,false,false,absent,false,13,94,PasDrole,false
false,false,false,false,false,absent,false,1,78,PasDrole,false
false,false,false,false,false,absent,false,2,114,PasDrole,false
false,false,false,false,false,absent,false,6,64,PasDrole,false
false,false,false,false,false,absent,false,4,72,PasDrole,false
false,false,false,false,false,absent,false,9,95,PasDrole,false
false,false,false,false,false,absent,false,5,98,PasDrole,false
false,false,false,false,false,absent,false,12,101,PasDrole,false
false,false,false,false,false,absent,true,7,93,PasDrole,false
false,false,false,false,false,absent,false,13,92,PasDrole,false
false,false,false,false,false,absent,true,9,140,PasDrole,false
false,false,false,false,false,absent,false,5,139,PasDrole,false
false,false,false,false,false,absent,false,11,78,PasDrole,false
false,false,false,false,false,regulier,false,7,80,PasDrole,false
