@relation tweet-weka.filters.unsupervised.attribute.Remove-R10

@attribute user {true,false}
@attribute word {true,false}
@attribute hashtag {true,false}
@attribute smiley {true,false}
@attribute argoInternet {true,false}
@attribute ponctuation {absent,regulier,surnombre}
@attribute retweet {true,false}
@attribute nbRetweet numeric
@attribute longeur numeric
@attribute tweetDrole {true,false}

@data
false,false,false,false,false,absent,false,4,80,false
false,false,false,false,false,absent,false,16,79,false
false,false,false,false,false,absent,false,9,79,false
false,false,false,false,false,absent,false,5,117,false
false,false,false,false,false,absent,false,3,88,false
false,false,false,false,false,absent,false,18,111,false
false,false,false,false,false,absent,false,4,89,false
false,false,false,false,false,absent,false,18,90,false
false,false,false,false,false,absent,false,9,73,false
false,false,false,false,false,absent,false,10,80,false
false,false,false,false,false,absent,false,9,86,false
false,false,false,false,false,absent,false,11,67,false
false,false,false,false,false,absent,false,8,51,false
false,false,false,false,false,absent,false,2,83,false
false,false,false,false,false,absent,false,21,72,false
false,false,false,false,false,absent,false,6,83,false
false,false,false,false,false,absent,false,7,139,false
false,false,false,false,false,absent,false,6,115,false
false,false,false,false,false,absent,false,9,76,false
false,false,false,false,false,absent,false,6,78,false
false,false,false,false,false,absent,false,13,70,false
false,false,false,false,false,absent,false,6,114,false
false,false,false,false,false,absent,false,6,102,false
false,false,false,false,false,absent,false,11,101,false
false,false,false,false,false,absent,false,10,72,false
false,false,false,false,false,absent,false,19,78,false
false,false,false,false,false,absent,false,5,87,false
false,false,false,false,false,absent,false,15,86,false
false,false,false,false,false,regulier,false,22,80,false
false,false,false,false,false,absent,false,8,78,false
false,false,false,false,false,absent,false,10,73,false
false,false,false,false,false,absent,false,5,82,false
false,false,false,false,false,absent,false,8,63,false
false,false,false,false,false,absent,false,4,56,false
false,false,false,false,false,absent,false,3,115,false
false,false,false,false,false,absent,false,9,81,false
false,false,false,false,false,absent,false,3,97,false
false,false,false,false,false,absent,false,1,88,false
false,false,false,false,false,absent,false,6,63,false
false,false,false,false,false,absent,false,4,66,false
false,false,false,false,false,absent,false,11,87,false
false,false,false,false,false,absent,false,3,70,false
false,false,false,false,false,absent,true,3,140,false
false,false,false,false,false,absent,false,3,92,false
false,false,false,false,false,absent,false,7,84,false
false,false,false,false,false,absent,false,9,74,false
false,false,false,false,false,absent,true,5,124,false
false,false,false,false,false,absent,false,3,97,false
false,false,false,false,false,absent,false,12,71,false
false,false,false,false,false,absent,false,4,82,false
false,false,false,false,false,absent,false,4,56,false
false,false,false,false,false,absent,false,8,63,false
false,false,false,false,false,absent,true,6,107,false
false,false,false,false,false,absent,true,8,88,false
false,false,false,false,false,absent,true,5,101,false
false,false,false,false,false,absent,false,7,87,false
false,false,false,false,false,absent,false,7,82,false
false,false,false,false,false,absent,false,8,73,false
false,false,false,false,false,absent,false,6,51,false
false,false,false,false,false,absent,false,4,83,false
false,false,false,false,false,absent,false,13,67,false
false,false,false,false,false,absent,false,6,85,false
false,false,false,false,false,absent,false,6,139,false
false,false,false,false,false,absent,true,7,110,false
false,false,false,false,false,absent,false,22,72,false
false,false,false,false,false,absent,false,4,115,false
false,false,false,false,false,absent,false,6,115,false
false,false,false,false,false,absent,false,10,70,false
false,false,false,false,false,absent,false,10,63,false
false,false,false,false,false,absent,false,4,72,false
false,false,false,false,false,absent,false,13,94,false
false,false,false,false,false,absent,false,1,78,false
false,false,false,false,false,absent,false,2,114,false
false,false,false,false,false,absent,false,6,64,false
false,false,false,false,false,absent,false,4,72,false
false,false,false,false,false,absent,false,9,95,false
false,false,false,false,false,absent,false,5,98,false
false,false,false,false,false,absent,false,12,101,false
false,false,false,false,false,absent,true,7,93,false
false,false,false,false,false,absent,false,13,92,false
false,false,false,false,false,absent,true,9,140,false
false,false,false,false,false,absent,false,5,139,false
false,false,false,false,false,absent,false,11,78,false
false,false,false,false,false,regulier,false,7,80,false
false,false,false,false,false,absent,false,5,78,false
false,false,false,false,false,absent,false,14,72,false
false,false,false,false,false,absent,false,3,113,false
false,false,false,false,false,absent,false,7,63,false
false,false,false,false,false,absent,false,5,78,false
false,false,false,false,false,absent,false,10,70,false
false,false,false,false,false,absent,false,6,71,false
false,false,false,false,false,absent,false,7,68,false
false,false,false,false,false,absent,true,10,84,false
false,false,false,false,false,absent,true,7,99,false
false,false,false,false,false,absent,false,5,115,false
false,false,false,false,false,absent,false,4,97,false
false,false,false,false,false,absent,false,12,67,false
false,false,false,false,false,absent,false,10,73,false
false,false,false,false,false,absent,false,4,102,false
